Step Loss
499 0.137653
999 0.109445
1499 0.092000
1999 0.080557
2499 0.071697
2999 0.063942
3499 0.056119
3999 0.052123
4499 0.046632
4999 0.043020
5499 0.037395
5999 0.031830
6499 0.030101
6999 0.028831
7499 0.027366
7999 0.024341
8499 0.018709
8999 0.017612
9499 0.016002
9999 0.011533
10499 0.001988
10999 0.000894
11499 0.000612
11999 0.000414
12499 0.000313
12999 0.000218
13499 0.000176
13999 0.000135
14499 0.000110
14999 0.000098
15499 0.000100
15999 0.000074
16499 0.000093
16999 0.000086
17499 0.000080
17999 0.000077
18499 0.000085
18999 0.000065
19499 0.000088
19999 0.000056
